Projeto,detalhada,indicativa,ALI baixa,ALI media,ALI alta,AIE baixa,AIE media,AIE alta,EE baixa,EE media,EE alta,SE baixa,SE media,SE alta,CE baixa,CE media,CE alta
1,407,695,19,0,0,2,0,0,29,6,6,0,2,2,13,9,3
2,1389,2415,69,0,0,0,0,0,0,114,0,0,70,0,0,25,0
3,183,120,3,0,0,1,0,0,9,1,8,4,5,3,2,1,1
4,1069,1090,29,0,0,5,0,0,0,126,0,0,41,0,0,33,0
5,98,140,3,1,0,0,0,0,6,4,0,0,2,1,4,1,2
6,"194,6",210,5,1,0,0,0,0,15,6,1,0,2,1,7,3,5
7,196,140,3,1,0,0,0,0,10,1,2,8,0,0,19,6,1
8,112,175,4,1,0,0,0,0,4,0,3,3,2,1,5,0,0
9,723,560,16,0,0,0,0,0,0,88,0,0,22,0,0,50,0
10,169,135,3,0,0,2,0,0,8,6,5,0,0,0,10,3,3
11,727,595,17,0,0,0,0,0,188,0,0,13,0,0,70,0,0
12,"387,75",140,2,2,0,0,0,0,29,7,7,1,13,3,11,19,1
