Driver,Symbol,VL,L,N,H,VH,XH
PREC,SF1,6.20,4.96,3.72,2.48,1.24,0.00
FLEX,SF2,5.07,4.05,3.04,2.03,1.01,0.00
RESL,SF3,7.07,5.65,4.24,2.83,1.41,0.00
TEAM,SF4,5.48,4.38,3.29,2.19,1.10,0.00
PMAT,SF5,7.80,6.24,4.68,3.12,1.56,0.00
RELY,EM1,0.82,0.92,1.00,1.10,1.26,
DATA,EM2,,0.90,1.00,1.14,1.28,
CPLX,EM3,0.73,0.87,1.00,1.17,1.34,1.74
RUSE,EM4,,0.95,1.00,1.07,1.15,1.24
DOCU,EM5,0.81,0.91,1.00,1.11,1.23,
TIME,EM6,,,1.00,1.11,1.29,1.63
STOR,EM7,,,1.00,1.05,1.17,1.46
PVOL,EM8,,0.87,1.00,1.15,1.30,
ACAP,EM9,1.42,1.19,1.00,0.85,0.71,
PCAP,EM10,1.34,1.15,1.00,0.88,0.76,
PCON,EM11,1.29,1.12,1.00,0.90,0.81,
APEX,EM12,1.22,1.10,1.00,0.88,0.81,
PLEX,EM13,1.19,1.09,1.00,0.91,0.85,
LTEX,EM14,1.20,1.09,1.00,0.91,0.84,
TOOL,EM15,1.17,1.09,1.00,0.90,0.78,
SITE,EM16,1.22,1.09,1.00,0.93,0.86,0.80
SCED,EM17,1.43,1.14,1.00,1.00,1.00,
